Date,Vendor,Product,Brand,Price,Grams,Price Per 100g
2024-04-30,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-30,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-30,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-30,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-01,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-01,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-01,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-01,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-02,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-02,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-02,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-02,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-03,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-03,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-03,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-03,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-04,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-04,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-04,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-04,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-05,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-05,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-05,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-05,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-06,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-06,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-06,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-06,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-07,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-07,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-07,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-07,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-08,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-08,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-08,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-09,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-09,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-09,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-10,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-10,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-10,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-10,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-11,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-11,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-11,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-11,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-12,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-12,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-13,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-13,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-13,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-13,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-14,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-14,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-14,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-14,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-15,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-15,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-15,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-16,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-16,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-16,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-16,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-17,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-17,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-18,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-18,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-18,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-18,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-19,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-19,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-19,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-19,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-20,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-20,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-21,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-21,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-21,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-21,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-21,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-21,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-21,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-22,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-05-22,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-22,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-05-22,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-05-23,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.79,800,0.59875
2024-05-23,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-05-23,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
